GB	Caste
GB42280	NA
GB42281	NDEG
GB42282	NA
GB42283	NA
GB42287	NA
GB42290	NA
GB42292	NA
GB42295	NA
GB42296	NA
GB42297	NDEG
GB42298	NDEG
GB42299	NA
GB42300	NA
GB42301	NA
GB42302	NA
GB42303	NA
GB42304	NA
GB42305	NA
GB42306	NA
GB42307	NA
GB42309	NA
GB42310	NA
GB42311	NA
GB42312	NDEG
GB42313	NA
GB42314	NA
GB42315	NA
GB42316	NA
GB42317	NA
GB42318	NA
GB42319	NA
GB42320	NA
GB42321	NA
GB42323	NA
GB42324	NA
GB42326	NDEG
GB42327	NA
GB42328	NA
GB42329	NA
GB42330	NA
GB42331	NA
GB42332	NA
GB42333	NA
GB42334	NA
GB42335	NA
GB42337	NA
GB42338	NA
GB42339	NA
GB42342	NA
GB42350	NA
GB42351	NDEG
GB42352	NA
GB42353	NA
GB42354	NDEG
GB42355	NDEG
GB42356	NA
GB42357	NA
GB42358	NA
GB42359	NDEG
GB42360	NA
GB42364	NA
GB42365	NA
GB42366	NA
GB42367	NA
GB42368	NA
GB42369	NA
GB42370	NA
GB42372	NA
GB42373	NA
GB42374	NDEG
GB42375	NA
GB42376	NA
GB42377	NA
GB42378	NA
GB42379	NA
GB42381	NA
GB42382	NA
GB42383	NA
GB42384	NA
GB42385	NDEG
GB42386	NA
GB42387	NA
GB42400	NDEG
GB42401	NA
GB42404	NA
GB42408	NA
GB42409	NA
GB42410	NA
GB42411	NA
GB42412	NA
GB42413	NA
GB42414	NA
GB42416	NA
GB42417	NA
GB42418	NA
GB42419	NA
GB42420	NA
GB42421	NA
GB42422	NDEG
GB42423	NA
GB42424	NA
GB42425	NA
GB42426	NDEG
GB42427	NDEG
GB42428	NDEG
GB42429	NA
GB42431	NDEG
GB42432	NA
GB42433	NA
GB42434	NDEG
GB42435	NA
GB42436	NA
GB42437	NA
GB42438	NA
GB42442	NA
GB42443	NA
GB42444	NA
GB42445	NA
GB42446	NA
GB42447	NA
GB42448	NA
GB42449	NA
GB42450	NA
GB42451	NA
GB42452	NA
GB42454	NA
GB42455	NA
GB42456	NA
GB42457	NDEG
GB42458	NA
GB42459	NA
GB42460	NA
GB42462	NA
GB42463	NA
GB42464	NA
GB42465	NA
GB42466	NA
GB42467	NDEG
GB42468	NDEG
GB42469	NA
GB42470	NA
GB42472	NA
GB42473	NA
GB42475	NDEG
GB42476	NA
GB42477	NA
GB42478	NA
GB42479	NDEG
GB42480	NA
GB42481	NA
GB42482	W
GB42484	NDEG
GB42485	NA
GB42486	NA
GB42487	NA
GB42489	NA
GB42490	NA
GB42491	NA
GB42492	NA
GB42493	NDEG
GB42494	NA
GB42495	NA
GB42496	NA
GB42497	NA
GB42498	NA
GB42499	NA
GB42500	NA
GB42501	NA
GB42504	NA
GB42505	NA
GB42506	NA
GB42508	NA
GB42509	NA
GB42510	NA
GB42515	NDEG
GB42516	NDEG
GB42519	NA
GB42520	NA
GB42522	NA
GB42524	NA
GB42525	NA
GB42526	NDEG
GB42527	NA
GB42529	NA
GB42531	NA
GB42533	NA
GB42534	NA
GB42536	NA
GB42537	NA
GB42538	NA
GB42539	NA
GB42540	NA
GB42541	NA
GB42543	NA
GB42544	NA
GB42545	NA
GB42547	NA
GB42548	NA
GB42549	NA
GB42550	NDEG
GB42551	NDEG
GB42552	NA
GB42553	NA
GB42554	NA
GB42555	NA
GB42556	NA
GB42558	NA
GB42559	NDEG
GB42560	Q
GB42561	NA
GB42562	NA
GB42564	NA
GB42565	NDEG
GB42566	NA
GB42567	NA
GB42568	NA
GB42575	NA
GB42576	NA
GB42577	NA
GB42579	NA
GB42580	NA
GB42581	NA
GB42582	NA
GB42583	NA
GB42584	NA
GB42585	NA
GB42586	NA
GB42587	NA
GB42588	NA
GB42589	NA
GB42590	NA
GB42591	NA
GB42592	NA
GB42593	NA
GB42594	NDEG
GB42595	NA
GB42596	NA
GB42597	NA
GB42598	NA
GB42599	NA
GB42600	NA
GB42601	NA
GB42602	NA
GB42603	NA
GB42604	NDEG
GB42605	NA
GB42606	NA
GB42607	NA
GB42608	NA
GB42610	NA
GB42612	NA
GB42613	NA
GB42614	NA
GB42615	NA
GB42616	NDEG
GB42617	NA
GB42618	NA
GB42619	NA
GB42620	NA
GB42621	Q
GB42622	NA
GB42623	NA
GB42624	NA
GB42625	NDEG
GB42626	NA
GB42627	NA
GB42628	NA
GB42629	NA
GB42631	NA
GB42632	NA
GB42634	NA
GB42635	NA
GB42636	NA
GB42637	NA
GB42638	NA
GB42639	NA
GB42640	NA
GB42641	NA
GB42642	NA
GB42643	NA
GB42644	NA
GB42645	NA
GB42646	NA
GB42647	NA
GB42648	NA
GB42649	NA
GB42650	NA
GB42651	NA
GB42652	NDEG
GB42653	NA
GB42654	NDEG
GB42655	NA
GB42656	NA
GB42659	NDEG
GB42660	NA
GB42661	NA
GB42662	NA
GB42663	NA
GB42664	NA
GB42666	NA
GB42667	NA
GB42669	NA
GB42670	NA
GB42671	NA
GB42672	NA
GB42673	NA
GB42674	NA
GB42675	NA
GB42676	NDEG
GB42677	NA
GB42678	NA
GB42679	NDEG
GB42680	NA
GB42681	NA
GB42682	NA
GB42683	NA
GB42685	Q
GB42686	NA
GB42688	NA
GB42689	NA
GB42690	NA
GB42691	NA
GB42692	NA
GB42693	NDEG
GB42694	NA
GB42695	NA
GB42696	NA
GB42697	NA
GB42698	NA
GB42699	NA
GB42701	NA
GB42702	NA
GB42704	NDEG
GB42705	NA
GB42706	NA
GB42707	NA
GB42708	NA
GB42711	NA
GB42714	NA
GB42716	NA
GB42717	NA
GB42719	NA
GB42720	NDEG
GB42721	NA
GB42722	NA
GB42723	NA
GB42724	NDEG
GB42725	W
GB42726	NDEG
GB42728	NA
GB42731	NA
GB42732	NDEG
GB42733	NA
GB42735	NA
GB42737	NA
GB42738	NA
GB42739	NDEG
GB42740	NA
GB42741	NA
GB42742	NA
GB42743	NA
GB42744	NA
GB42745	NA
GB42747	NDEG
GB42748	NDEG
GB42749	NA
GB42750	NA
GB42751	NA
GB42752	NA
GB42753	NDEG
GB42754	NA
GB42755	NA
GB42756	NA
GB42757	NA
GB42758	NA
GB42759	NA
GB42760	NA
GB42761	NA
GB42762	NA
GB42763	NA
GB42764	NA
GB42765	NA
GB42766	NA
GB42767	NA
GB42769	NA
GB42770	NA
GB42771	NA
GB42772	NA
GB42773	NDEG
GB42774	NA
GB42775	NA
GB42776	NA
GB42777	NA
GB42779	NA
GB42781	NDEG
GB42782	NA
GB42783	NA
GB42784	NA
GB42785	NA
GB42786	NDEG
GB42787	NDEG
GB42788	NA
GB42790	NA
GB42791	NA
GB42792	NA
GB42793	NA
GB42794	NDEG
GB42795	NA
GB42796	NA
GB42797	Q
GB42798	NDEG
GB42799	NA
GB42800	NA
GB42802	NA
GB42804	NDEG
GB42805	NA
GB42807	NA
GB42808	NA
GB42809	NA
GB42810	NA
GB42811	NA
GB42812	NA
GB42814	NDEG
GB42815	NA
GB42816	NA
GB42817	NA
GB42819	NA
GB42820	NA
GB42821	NA
GB42822	NA
GB42823	NA
GB42824	NA
GB42825	NA
GB42826	NA
GB42828	NA
GB42829	NDEG
GB42830	NA
GB42831	NA
GB42834	NA
GB42835	NDEG
GB42836	NA
GB42837	NA
GB42838	NA
GB42839	NA
GB42840	NA
GB42841	Q
GB42843	NA
GB42844	NA
GB42845	Q
GB42846	NA
GB42847	NA
GB42848	NDEG
GB42849	NDEG
GB42850	NA
GB42851	NA
GB42852	NA
GB42853	NA
GB42854	NA
GB42855	NA
GB42856	NDEG
GB42857	NA
GB42858	NDEG
GB42859	NA
GB42860	NA
GB42861	NA
GB42862	NDEG
GB42863	NA
GB42865	NA
GB42866	NDEG
GB42867	NA
GB42869	NA
GB42871	NDEG
GB42872	NA
GB42873	NA
GB42874	NDEG
GB42875	NA
GB42879	NDEG
GB42880	NA
GB42881	NDEG
GB42882	NA
GB42883	NA
GB42884	NA
GB42885	NA
GB42886	NA
GB42887	NA
GB42888	NA
GB42889	NA
GB42890	NA
GB42891	NA
GB42892	NA
GB42894	NA
GB42895	NA
GB42896	NA
GB42897	NA
GB42898	NA
GB42899	NA
GB42900	NA
GB42901	NA
GB42902	NA
GB42903	NA
GB42904	NA
GB42906	NA
GB42907	NA
GB42908	NA
GB42909	NA
GB42910	NA
GB42911	NA
GB42913	NA
GB42915	NA
GB42917	NA
GB42918	NDEG
GB42919	NA
GB42920	NA
GB42921	NA
GB42922	NA
GB42923	NA
GB42924	NA
GB42925	NA
GB42926	NA
GB42927	NA
GB42929	NA
GB42930	NA
GB42931	NA
GB42932	NA
GB42933	NA
GB42934	NA
GB42936	NA
GB42939	NA
GB42940	NA
GB42941	NA
GB42942	NA
GB42943	NA
GB42944	NDEG
GB42945	NA
GB42946	NA
GB42947	NA
GB42948	NA
GB42949	NA
GB42950	NA
GB42951	NA
GB42952	NA
GB42953	NA
GB42955	NA
GB42956	NA
GB42957	NA
GB42958	NA
GB42959	NA
GB42960	NA
GB42961	NDEG
GB42962	NA
GB42963	NDEG
GB42964	NA
GB42965	NA
GB42966	NA
GB42967	NA
GB42968	NA
GB42969	NA
GB42970	NA
GB42972	NA
GB42973	NA
GB42974	NA
GB42975	NA
GB42976	NA
GB42977	NA
GB42978	NA
GB42979	NA
GB42981	NA
GB42983	NA
GB42984	NA
GB42985	W
GB42986	NA
GB42987	NA
GB42991	NA
GB42992	NA
GB42994	NA
GB42995	NA
GB42996	NA
GB42997	NA
GB42998	NA
GB42999	NA
GB43000	NA
GB43003	NA
GB43004	NA
GB43005	NDEG
GB43006	Q
GB43007	NDEG
GB43009	NA
GB43010	NA
GB43011	NA
GB43012	NA
GB43013	NA
GB43014	NA
GB43015	NA
GB43016	NA
GB43017	NA
GB43018	NA
GB43019	NA
GB43020	NA
GB43022	NA
GB43023	NA
GB43024	NA
GB43025	NA
GB43026	NA
GB43033	NA
GB43034	NA
GB43035	NA
GB43047	NA
GB43051	NA
GB43052	NDEG
GB43053	NA
GB43054	NA
GB43074	NA
GB43075	NA
GB43076	NA
GB43077	NA
GB43079	NA
GB43080	NA
GB43081	NA
GB43084	NA
GB43085	NA
GB43086	NA
GB43087	NA
GB43088	NDEG
GB43089	NDEG
GB43091	NA
GB43092	NA
GB43093	NA
GB43094	NA
GB43095	NA
GB43097	NA
GB43098	NA
GB43099	NA
GB43100	NA
GB43103	NA
GB43104	NA
GB43105	NDEG
GB43106	NA
GB43107	NA
GB43108	NA
GB43110	NA
GB43111	NA
GB43112	NA
GB43113	NDEG
GB43114	NA
GB43115	NA
GB43116	NDEG
GB43117	NA
GB43118	NA
GB43119	NA
GB43120	NA
GB43121	NA
GB43122	NA
GB43123	NA
GB43124	NA
GB43125	NDEG
GB43126	NA
GB43127	NA
GB43128	NA
GB43129	NDEG
GB43130	NA
GB43131	NA
GB43132	NA
GB43133	NA
GB43134	NA
GB43135	NA
GB43136	NA
GB43137	NA
GB43138	NA
GB43139	NA
GB43140	NA
GB43141	NDEG
GB43143	NA
GB43145	NDEG
GB43146	NA
GB43147	NDEG
GB43149	NA
GB43150	NA
GB43151	NA
GB43153	NDEG
GB43154	NA
GB43155	NA
GB43156	NA
GB43157	NA
GB43158	NA
GB43159	NA
GB43160	NA
GB43161	NA
GB43162	NA
GB43163	NA
GB43167	NA
GB43168	NA
GB43169	NA
GB43171	NDEG
GB43172	NA
GB43173	NDEG
GB43175	NA
GB43176	NA
GB43178	NA
GB43179	NA
GB43180	NDEG
GB43181	NA
GB43182	NA
GB43183	NA
GB43184	NDEG
GB43185	NA
GB43186	NA
GB43187	NA
GB43188	NA
GB43189	NDEG
GB43191	NDEG
GB43192	NA
GB43193	NA
GB43194	NA
GB43195	NA
GB43196	NA
GB43197	NA
GB43198	NDEG
GB43200	NA
GB43201	NA
GB43202	NA
GB43203	NDEG
GB43204	NA
GB43205	NA
GB43206	NA
GB43207	NA
GB43208	NDEG
GB43210	NA
GB43211	NA
GB43212	NA
GB43213	NA
GB43214	NDEG
GB43215	NA
GB43216	NA
GB43217	NA
GB43218	NA
GB43219	NA
GB43220	NA
GB43221	NA
GB43222	NDEG
GB43223	NA
GB43224	NA
GB43225	NA
GB43226	NA
GB43227	NA
GB43228	NDEG
GB43229	NDEG
GB43230	NA
GB43231	NA
GB43232	NA
GB43234	NA
GB43235	NA
GB43236	NA
GB43237	NA
GB43238	NA
GB43239	NDEG
GB43244	NA
GB43245	NA
GB43246	NA
GB43247	W
GB43248	W
GB43249	NA
GB43250	NA
GB43251	NA
GB43252	NA
GB43255	NA
GB43256	NA
GB43258	NA
GB43260	NA
GB43261	NA
GB43262	NA
GB43263	NA
GB43264	NA
GB43265	NA
GB43266	NDEG
GB43270	NA
GB43271	NA
GB43272	NA
GB43273	NA
GB43274	NA
GB43275	NA
GB43276	NDEG
GB43277	NA
GB43279	Q
GB43280	NDEG
GB43281	NA
GB43282	NDEG
GB43284	NA
GB43285	NDEG
GB43287	NA
GB43288	NA
GB43292	NA
GB43293	NA
GB43294	NA
GB43295	NDEG
GB43297	NA
GB43298	NA
GB43299	NA
GB43300	NDEG
GB43301	NDEG
GB43302	NDEG
GB43304	NA
GB43305	NA
GB43306	NA
GB43307	NA
GB43308	NA
GB43309	NA
GB43310	NA
GB43311	NA
GB43312	NA
GB43313	NA
GB43314	NDEG
GB43315	NA
GB43316	NA
GB43327	NA
GB43328	NA
GB43329	NA
GB43332	NA
GB43334	NA
GB43335	NA
GB43336	NA
GB43337	NA
GB43338	NA
GB43341	NA
GB43353	NDEG
GB43354	NA
GB43358	NDEG
GB43359	NA
GB43360	NDEG
GB43362	W
GB43365	NA
GB43366	NA
GB43367	NA
GB43368	NA
GB43369	NA
GB43375	NA
GB43376	NA
GB43378	NA
GB43379	NA
GB43380	NA
GB43381	NA
GB43382	NA
GB43385	NA
GB43388	NA
GB43389	NA
GB43390	NA
GB43391	NA
GB43392	Q
GB43393	NA
GB43394	NA
GB43401	NA
GB43402	NA
GB43403	NA
GB43404	NA
GB43405	NA
GB43407	NA
GB43408	NA
GB43409	NA
GB43411	NA
GB43412	NA
GB43416	NA
GB43417	NA
GB43418	NA
GB43419	Q
GB43420	NA
GB43421	NA
GB43422	NA
GB43423	NA
GB43424	NA
GB43425	NA
GB43426	NA
GB43427	NDEG
GB43429	NA
GB43431	NA
GB43434	NA
GB43435	NA
GB43436	NA
GB43437	NA
GB43438	NA
GB43439	NA
GB43440	NA
GB43441	NA
GB43442	NA
GB43443	NA
GB43444	NA
GB43446	NA
GB43447	NA
GB43448	NDEG
GB43449	NA
GB43453	NA
GB43454	NA
GB43455	NA
GB43456	NA
GB43459	NA
GB43460	NA
GB43461	NA
GB43462	NA
GB43463	NA
GB43464	NDEG
GB43465	NA
GB43466	NDEG
GB43467	NA
GB43468	NDEG
GB43469	NA
GB43470	NA
GB43471	NA
GB43472	NA
GB43476	NA
GB43478	NA
GB43479	NA
GB43480	NA
GB43481	NA
GB43482	NA
GB43483	NA
GB43484	NA
GB43485	NA
GB43486	NA
GB43487	NA
GB43488	NA
GB43489	NA
GB43490	NA
GB43491	NA
GB43492	NA
GB43494	NA
GB43495	NA
GB43496	NA
GB43497	NDEG
GB43499	NA
GB43500	NDEG
GB43501	NA
GB43502	NA
GB43503	NA
GB43504	NA
GB43505	NA
GB43506	NA
GB43507	NA
GB43508	NDEG
GB43509	NA
GB43510	NDEG
GB43511	NA
GB43512	NA
GB43513	NA
GB43514	NA
GB43515	NA
GB43516	NA
GB43517	NA
GB43518	NA
GB43519	NA
GB43520	NDEG
GB43523	NA
GB43526	NA
GB43527	NA
GB43529	NA
GB43534	NA
GB43535	NA
GB43536	NA
GB43537	NA
GB43539	NA
GB43540	NDEG
GB43543	NA
GB43545	NA
GB43546	NA
GB43547	NA
GB43548	NDEG
GB43549	NDEG
GB43551	NA
GB43552	NA
GB43553	NA
GB43554	NA
GB43555	NA
GB43556	NA
GB43558	NA
GB43559	NDEG
GB43560	NA
GB43561	NA
GB43562	NA
GB43563	NA
GB43564	NA
GB43565	NA
GB43566	NA
GB43567	NA
GB43568	NA
GB43569	NA
GB43570	NA
GB43571	NA
GB43572	NA
GB43573	NDEG
GB43574	NA
GB43575	Q
GB43576	NA
GB43579	NA
GB43580	NA
GB43581	NA
GB43582	NA
GB43583	NA
GB43584	NA
GB43585	NA
GB43586	NDEG
GB43587	NA
GB43588	NA
GB43589	NA
GB43590	NA
GB43591	NA
GB43592	NA
GB43594	NA
GB43595	NA
GB43596	NA
GB43597	NA
GB43598	NA
GB43599	NA
GB43602	NA
GB43604	NA
GB43605	NA
GB43606	NA
GB43607	NA
GB43609	NA
GB43611	NA
GB43612	NA
GB43613	NA
GB43614	NA
GB43615	NA
GB43617	NDEG
GB43618	NDEG
GB43619	NA
GB43621	NA
GB43622	NA
GB43623	NA
GB43624	NA
GB43625	NA
GB43626	NA
GB43627	NA
GB43628	NA
GB43629	NA
GB43630	NA
GB43631	NA
GB43632	NA
GB43633	NA
GB43634	NDEG
GB43635	NDEG
GB43636	NA
GB43637	NA
GB43638	NDEG
GB43639	NA
GB43640	NA
GB43642	NA
GB43643	NA
GB43654	NA
GB43655	NA
GB43657	NA
GB43658	NA
GB43660	NA
GB43662	NA
GB43663	NA
GB43665	NA
GB43666	NA
GB43672	NA
GB43677	NA
GB43683	NA
GB43684	NA
GB43685	NA
GB43686	NA
GB43687	NA
GB43689	NDEG
GB43690	NDEG
GB43691	NDEG
GB43692	NA
GB43693	NA
GB43694	NA
GB43696	NA
GB43697	NA
GB43699	NA
GB43700	NA
GB43702	NA
GB43703	NA
GB43704	NDEG
GB43705	NA
GB43706	Q
GB43707	NA
GB43708	W
GB43709	NDEG
GB43710	NA
GB43711	NA
GB43712	NA
GB43713	W
GB43714	NA
GB43716	NDEG
GB43718	NDEG
GB43719	NA
GB43722	NA
GB43724	NA
GB43726	NA
GB43727	W
GB43728	W
GB43729	NA
GB43730	NA
GB43731	NA
GB43732	NA
GB43733	NA
GB43734	NA
GB43735	NA
GB43736	NA
GB43737	NA
GB43738	Q
GB43739	NDEG
GB43740	NA
GB43741	NA
GB43742	NDEG
GB43743	NA
GB43745	NA
GB43749	NA
GB43750	NA
GB43751	NA
GB43752	NA
GB43753	NA
GB43754	NA
GB43755	NA
GB43756	NA
GB43757	NA
GB43758	NA
GB43759	NA
GB43760	NA
GB43761	NA
GB43768	NA
GB43769	NA
GB43770	NA
GB43771	NA
GB43772	NDEG
GB43773	NA
GB43774	NA
GB43775	NA
GB43776	NA
GB43778	NA
GB43779	NA
GB43780	NA
GB43781	NA
GB43782	NDEG
GB43783	NA
GB43784	NA
GB43785	NA
GB43786	NDEG
GB43787	NA
GB43788	NA
GB43789	NA
GB43790	NA
GB43791	NA
GB43792	NA
GB43794	NA
GB43796	NA
GB43798	NA
GB43799	NA
GB43800	NA
GB43801	NA
GB43802	NA
GB43805	NA
GB43806	NA
GB43808	NDEG
GB43811	NA
GB43812	NA
GB43813	NA
GB43814	NA
GB43815	NA
GB43816	NA
GB43817	NA
GB43818	NDEG
GB43819	NDEG
GB43820	NA
GB43822	NA
GB43823	NA
GB43824	NA
GB43825	W
GB43826	NA
GB43827	NA
GB43828	NDEG
GB43829	NA
GB43830	NA
GB43831	NDEG
GB43832	NA
GB43833	NA
GB43834	NA
GB43835	NA
GB43836	NA
GB43837	NA
GB43839	NA
GB43840	NA
GB43841	NDEG
GB43843	NA
GB43844	NA
GB43846	NA
GB43847	NA
GB43848	NA
GB43850	NA
GB43851	NA
GB43852	NA
GB43855	NDEG
GB43856	NDEG
GB43857	NA
GB43858	NA
GB43859	NA
GB43860	NA
GB43861	NA
GB43862	NA
GB43863	NDEG
GB43867	NA
GB43868	NA
GB43869	NDEG
GB43870	NA
GB43871	NA
GB43872	NA
GB43873	NA
GB43874	NA
GB43875	NA
GB43876	NA
GB43877	NA
GB43879	NDEG
GB43880	NA
GB43881	NA
GB43882	NA
GB43883	NA
GB43884	NA
GB43885	NA
GB43886	NA
GB43887	NA
GB43888	NA
GB43889	NA
GB43890	NA
GB43891	NDEG
GB43892	W
GB43894	NA
GB43895	NA
GB43897	NDEG
GB43898	NA
GB43899	NA
GB43900	NA
GB43901	NA
GB43902	NDEG
GB43903	NA
GB43904	NA
GB43905	NDEG
GB43906	NDEG
GB43908	NA
GB43909	NDEG
GB43912	NDEG
GB43913	NA
GB43914	NA
GB43915	NA
GB43917	NDEG
GB43919	NA
GB43920	NA
GB43921	NA
GB43922	NA
GB43924	NA
GB43934	NA
GB43935	NDEG
GB43936	NA
GB43937	NA
GB43938	NA
GB43941	NA
GB43942	NDEG
GB43944	NA
GB43945	NA
GB43947	NA
GB43948	NA
GB43949	NA
GB43951	NA
GB43952	NA
GB43953	NA
GB43954	NA
GB43955	NA
GB43956	NA
GB43957	NA
GB43958	NA
GB43960	NA
GB43963	NA
GB43964	NA
GB43965	NA
GB43968	NA
GB43969	NA
GB43971	NA
GB43972	NA
GB43974	NA
GB43975	NA
GB43976	NA
GB43978	NA
GB43980	NA
GB43982	NA
GB43983	NA
GB43984	NA
GB43986	NA
GB43989	NA
GB43990	NA
GB43991	NA
GB43999	NDEG
GB44000	NA
GB44001	NA
GB44002	NDEG
GB44003	NA
GB44004	NA
GB44005	NDEG
GB44006	NA
GB44007	NA
GB44008	NA
GB44009	NA
GB44010	NA
GB44011	NA
GB44012	NA
GB44014	NA
GB44016	NA
GB44017	NA
GB44018	NA
GB44019	NA
GB44020	NDEG
GB44021	NDEG
GB44022	NA
GB44024	NA
GB44026	NA
GB44027	NA
GB44028	NDEG
GB44029	NA
GB44030	NA
GB44031	NA
GB44032	NA
GB44033	NA
GB44034	NA
GB44035	NA
GB44037	NA
GB44038	NA
GB44039	Q
GB44040	NA
GB44041	NA
GB44042	NA
GB44043	NA
GB44044	NA
GB44045	NDEG
GB44046	NA
GB44047	NA
GB44048	NDEG
GB44049	NA
GB44050	NA
GB44051	NA
GB44052	NA
GB44053	NA
GB44054	NA
GB44055	NA
GB44056	NA
GB44058	NDEG
GB44059	NDEG
GB44060	NA
GB44061	NA
GB44062	NA
GB44063	NA
GB44064	NA
GB44065	NA
GB44066	NA
GB44067	NA
GB44069	NA
GB44070	NA
GB44071	NA
GB44072	NA
GB44073	NA
GB44074	NDEG
GB44075	NA
GB44077	NA
GB44078	NA
GB44079	NA
GB44080	NDEG
GB44081	NA
GB44082	NA
GB44083	NA
GB44084	NA
GB44085	NA
GB44086	NA
GB44089	NA
GB44090	NA
GB44091	NA
GB44092	NA
GB44093	NA
GB44095	NA
GB44096	NA
GB44097	NA
GB44098	NA
GB44099	NA
GB44100	NDEG
GB44101	NA
GB44102	NA
GB44103	NA
GB44104	NA
GB44107	NA
GB44108	NA
GB44109	NDEG
GB44110	NA
GB44111	NA
GB44112	NA
GB44113	NA
GB44114	NA
GB44115	NA
GB44116	NDEG
GB44117	NA
GB44118	NA
GB44119	NA
GB44120	NDEG
GB44121	NA
GB44122	NA
GB44123	NA
GB44124	NA
GB44125	NA
GB44126	NA
GB44127	NA
GB44128	NA
GB44129	NA
GB44130	NA
GB44131	NA
GB44132	NDEG
GB44133	NDEG
GB44134	NDEG
GB44135	NA
GB44136	NA
GB44138	NDEG
GB44139	NA
GB44140	NA
GB44141	NDEG
GB44143	NA
GB44144	NA
GB44145	NA
GB44146	NDEG
GB44147	NDEG
GB44148	NA
GB44149	NA
GB44150	NA
GB44151	NA
GB44152	NA
GB44153	NA
GB44154	NDEG
GB44155	NA
GB44156	NA
GB44157	NA
GB44158	NA
GB44159	NA
GB44160	NA
GB44161	NA
GB44162	NA
GB44163	NA
GB44164	NA
GB44165	NDEG
GB44166	NA
GB44167	NA
GB44168	NA
GB44169	NA
GB44170	NA
GB44171	NA
GB44172	NDEG
GB44173	NA
GB44174	NDEG
GB44175	NDEG
GB44176	NA
GB44177	NA
GB44178	NA
GB44179	NA
GB44180	NA
GB44181	NA
GB44183	NA
GB44184	NDEG
GB44185	NA
GB44186	NDEG
GB44187	NA
GB44188	NA
GB44189	NA
GB44190	NA
GB44191	NA
GB44192	NA
GB44193	NA
GB44194	NA
GB44195	NA
GB44197	NA
GB44198	W
GB44199	NA
GB44200	NA
GB44201	NA
GB44202	NA
GB44203	NA
GB44204	NA
GB44205	NDEG
GB44206	NA
GB44207	NA
GB44208	NA
GB44209	Q
GB44210	NDEG
GB44211	NA
GB44213	NA
GB44215	NA
GB44216	NA
GB44218	NDEG
GB44219	NA
GB44220	NDEG
GB44221	NA
GB44222	NDEG
GB44223	NA
GB44224	W
GB44225	Q
GB44228	NA
GB44229	NA
GB44230	NA
GB44232	NA
GB44233	NA
GB44237	NDEG
GB44245	NA
GB44247	NA
GB44248	NA
GB44250	NA
GB44251	NA
GB44252	NA
GB44253	NA
GB44254	NA
GB44255	NA
GB44257	NA
GB44259	NA
GB44260	NA
GB44261	NA
GB44262	Q
GB44263	NA
GB44264	NA
GB44265	NA
GB44267	NA
GB44269	NA
GB44271	NA
GB44276	NA
GB44277	NA
GB44279	NA
GB44280	NA
GB44281	NA
GB44283	NA
GB44284	NA
GB44285	NA
GB44287	NA
GB44288	NA
GB44289	NA
GB44291	NA
GB44292	NA
GB44293	NA
GB44294	NA
GB44295	NA
GB44296	NA
GB44297	NA
GB44298	Q
GB44299	NDEG
GB44300	NA
GB44301	NA
GB44302	NA
GB44303	NA
GB44304	NA
GB44305	NA
GB44306	NA
GB44307	NDEG
GB44308	NA
GB44310	NA
GB44311	NDEG
GB44312	NA
GB44313	NDEG
GB44315	NA
GB44316	NA
GB44317	NA
GB44318	NA
GB44319	NA
GB44321	NA
GB44325	NA
GB44327	NA
GB44328	NA
GB44329	NA
GB44330	NA
GB44331	NA
GB44332	NA
GB44333	NA
GB44334	NDEG
GB44336	NA
GB44337	NA
GB44338	NA
GB44339	NA
GB44340	NA
GB44341	NA
GB44342	NA
GB44343	NA
GB44344	NA
GB44345	NA
GB44346	NA
GB44347	NA
GB44349	NA
GB44350	NA
GB44351	NA
GB44352	NA
GB44353	NDEG
GB44354	NA
GB44355	NA
GB44356	NA
GB44358	NA
GB44359	NA
GB44360	NA
GB44361	NA
GB44362	NA
GB44363	NA
GB44364	NA
GB44365	NA
GB44366	NDEG
GB44367	NA
GB44368	NDEG
GB44369	NA
GB44370	NA
GB44371	NA
GB44373	NA
GB44374	NA
GB44377	NA
GB44378	NA
GB44379	NA
GB44380	NA
GB44381	NA
GB44383	NA
GB44384	NA
GB44385	NA
GB44386	NA
GB44387	NA
GB44388	NA
GB44394	NA
GB44396	NDEG
GB44397	NA
GB44398	NDEG
GB44399	NA
GB44400	NA
GB44401	NA
GB44402	NA
GB44403	NA
GB44404	NDEG
GB44405	NA
GB44407	NA
GB44408	NA
GB44410	NA
GB44411	NA
GB44412	NA
GB44413	NA
GB44414	NA
GB44415	NA
GB44416	NA
GB44417	NA
GB44418	NA
GB44419	NDEG
GB44420	NDEG
GB44421	NA
GB44422	NDEG
GB44423	NA
GB44424	NDEG
GB44425	NA
GB44426	NDEG
GB44427	NA
GB44428	NA
GB44429	NDEG
GB44430	NDEG
GB44431	NDEG
GB44432	NA
GB44433	NA
GB44434	NA
GB44435	NA
GB44436	NA
GB44438	NA
GB44439	NDEG
GB44440	NA
GB44441	NA
GB44442	NA
GB44443	NA
GB44444	NDEG
GB44445	NA
GB44446	NA
GB44447	NA
GB44448	NA
GB44449	NDEG
GB44450	NA
GB44451	NA
GB44452	NA
GB44453	NA
GB44455	NA
GB44456	NA
GB44457	NDEG
GB44458	NA
GB44459	NA
GB44460	NA
GB44461	NA
GB44462	NA
GB44464	NDEG
GB44466	NA
GB44467	NA
GB44469	NA
GB44470	NA
GB44471	NA
GB44472	NA
GB44476	NA
GB44477	NA
GB44478	NA
GB44479	NA
