GB	Caste
GB40527	NA
GB40529	NA
GB40530	NA
GB40531	NA
GB40533	NA
GB40534	NA
GB40536	NA
GB40537	NDEG
GB40538	NA
GB40539	NA
GB40540	NA
GB40541	NA
GB40542	NA
GB40543	NA
GB40545	NA
GB40546	NA
GB40547	NA
GB40548	NDEG
GB40549	NA
GB40552	NA
GB40554	NA
GB40555	NA
GB40556	NA
GB40558	NDEG
GB40559	NA
GB40560	NA
GB40561	NA
GB40562	NA
GB40563	NDEG
GB40564	NA
GB40565	NA
GB40566	NA
GB40567	NA
GB40572	NA
GB40573	NA
GB40574	NA
GB40576	NDEG
GB40577	NDEG
GB40578	NA
GB40580	NA
GB40581	NA
GB40582	NA
GB40583	NA
GB40584	NA
GB40586	NA
GB40589	NDEG
GB40590	NA
GB40592	NDEG
GB40593	NA
GB40594	NA
GB40595	NA
GB40596	NA
GB40598	NA
GB40599	NA
GB40600	NA
GB40602	NA
GB40603	NA
GB40604	NA
GB40605	NA
GB40606	NA
GB40607	NA
GB40608	NA
GB40609	NA
GB40610	NA
GB40611	NA
GB40614	NA
GB40615	NA
GB40616	NA
GB40617	NA
GB40618	NA
GB40619	NA
GB40620	NA
GB40621	NA
GB40622	NA
GB40624	NA
GB40625	NA
GB40626	NDEG
GB40627	NA
GB40629	NA
GB40632	NA
GB40633	NA
GB40634	NA
GB40635	NDEG
GB40636	NA
GB40637	NA
GB40639	NA
GB40640	NA
GB40641	NA
GB40642	NA
GB40644	NA
GB40645	NA
GB40647	NA
GB40648	NA
GB40650	NA
GB40652	NA
GB40653	NA
GB40654	NA
GB40655	NA
GB40656	NA
GB40657	NA
GB40658	NA
GB40659	NA
GB40660	NA
GB40661	NA
GB40662	NA
GB40663	NA
GB40664	NA
GB40665	NA
GB40666	NA
GB40667	NA
GB40668	NA
GB40669	NA
GB40670	NA
GB40671	NA
GB40672	NA
GB40673	Q
GB40674	NA
GB40676	NA
GB40678	NA
GB40679	NA
GB40681	NA
GB40682	NA
GB40683	NA
GB40684	NA
GB40685	NA
GB40686	NDEG
GB40687	NA
GB40689	NA
GB40690	NA
GB40691	NA
GB40692	NA
GB40693	NA
GB40694	NA
GB40695	NA
GB40696	NA
GB40697	NA
GB40699	NA
GB40700	NA
GB40701	NA
GB40702	NA
GB40703	NA
GB40704	NA
GB40705	NDEG
GB40706	NA
GB40707	NA
GB40708	NDEG
GB40711	NA
GB40712	W
GB40713	NA
GB40715	NA
GB40716	NA
GB40717	NA
GB40718	NDEG
GB40720	NA
GB40722	NA
GB40723	NDEG
GB40724	NA
GB40726	NA
GB40727	NA
GB40728	NA
GB40730	NA
GB40731	NA
GB40732	NA
GB40733	NA
GB40734	NDEG
GB40735	NDEG
GB40737	NA
GB40740	NA
GB40741	NA
GB40743	NA
GB40744	NA
GB40745	NA
GB40746	NDEG
GB40747	NDEG
GB40748	NDEG
GB40749	NA
GB40750	Q
GB40751	NA
GB40752	NA
GB40754	NA
GB40755	NA
GB40756	NA
GB40757	NA
GB40758	NA
GB40759	NA
GB40760	NA
GB40763	NA
GB40764	NA
GB40765	NA
GB40766	NA
GB40767	NDEG
GB40768	NA
GB40769	Q
GB40770	NDEG
GB40771	NA
GB40773	NA
GB40774	NDEG
GB40775	NDEG
GB40776	NA
GB40777	NA
GB40778	NA
GB40779	Q
GB40780	NA
GB40781	NA
GB40782	NA
GB40783	NDEG
GB40784	NA
GB40785	NDEG
GB40787	NA
GB40788	NA
GB40789	NA
GB40791	NA
GB40792	NA
GB40793	NA
GB40794	NA
GB40796	NA
GB40797	NA
GB40798	NA
GB40799	NA
GB40800	NDEG
GB40801	NA
GB40802	NA
GB40803	NA
GB40804	NDEG
GB40805	NDEG
GB40806	NDEG
GB40807	NA
GB40808	NDEG
GB40809	NA
GB40810	NA
GB40812	NA
GB40814	NA
GB40815	NA
GB40816	NDEG
GB40817	NA
GB40818	NA
GB40819	NA
GB40821	NA
GB40822	NA
GB40823	NA
GB40824	NDEG
GB40827	NA
GB40828	NA
GB40829	NA
GB40830	NA
GB40831	NA
GB40833	NA
